Gene,adj.P.Val,P.Value,t,B,logFC,GB_ACC,SPOT_ID
TMUB2,0.743,0.072487,1.81498,-4.0674,0.152878,NM_024107.2,
TFE3,0.743,0.0740862,-1.804748,-4.0787,-0.206326,NM_006521.3,
CFB,0.743,0.0742822,-1.803507,-4.0801,-0.521851,NM_001710.5,
LAMP1,0.743,0.0745921,-1.801549,-4.0822,-0.219073,NM_005561.3,
CCR2,0.743,0.0749463,1.79932,-4.0846,0.711904,NM_001123041.2,NA
GZMH,0.743,0.0758143,1.793895,-4.0906,0.748388,NM_033423.3,
ECSIT,0.745,0.077827,-1.78151,-4.1041,-0.242109,NM_001142464.2,
C1S,0.745,0.0786453,-1.77655,-4.1094,-0.422184,NM_001734.2,NA
CHUK,0.745,0.0792597,-1.772854,-4.1134,-0.169507,NM_001278.3,
NFATC4,0.745,0.0798232,-1.769485,-4.1171,-0.399005,NM_001136022.2,
CSF2,0.7769,0.0845896,-1.741745,-4.1467,-0.882023,NM_000758.2,
CCR1,0.7769,0.0852157,1.738197,-4.1505,0.435391,NM_001295.2,NA
CD3G,0.7784,0.0873349,1.726345,-4.163,0.691545,NM_000073.2,
THBD,0.7784,0.0891891,-1.716167,-4.1737,-0.425687,NM_000361.2,
TYK2,0.7784,0.0900661,1.711414,-4.1787,0.29288,NM_003331.3,
SAP130,0.7784,0.0916205,-1.70308,-4.1874,-0.169886,NM_024545.3,
MAGEA1,0.7784,0.0922653,1.699657,-4.191,0.969298,NM_004988.4,
PLAUR,0.7784,0.0940581,-1.690241,-4.2007,-0.377739,NM_001005376.1,
CXCL3,0.7784,0.0949245,-1.685742,-4.2054,-0.579649,NM_002090.2,
KIR3DL1,0.7784,0.0970068,1.675066,-4.2163,0.358185,NM_013289.2,
MAP2K1,0.7784,0.0972716,-1.673722,-4.2177,-0.181471,NM_002755.2,
CD274,0.7784,0.0989229,1.665405,-4.2262,0.553922,NM_014143.3,
C8G,0.7784,0.0994092,1.662977,-4.2287,0.790557,NM_000606.2,NA
IGLL1,0.7784,0.1008974,1.655606,-4.2362,0.346472,NM_020070.2,
PLAU,0.7784,0.1013834,-1.653219,-4.2386,-0.462489,NM_002658.2,
MAP3K1,0.7784,0.1017867,1.651244,-4.2406,0.221063,NM_005921.1,
POS_F,0.7784,0.1020357,-1.650028,-4.2418,-0.347976,,ERCC_00034.1
IL17A,0.7784,0.1039385,1.640814,-4.2511,0.572687,NM_002190.2,
TIGIT,0.7784,0.1053547,1.634044,-4.2579,0.583693,NM_173799.2,
MX1,0.7784,0.1059215,-1.631356,-4.2606,-0.459652,NM_002462.2,
GZMA,0.7784,0.107281,1.624953,-4.267,0.646362,NM_006144.2,
HLA-C,0.7784,0.1094371,-1.614932,-4.2769,-0.377087,NM_002117.4,
MEFV,0.7784,0.1097804,-1.613351,-4.2785,-0.54336,NM_000243.2,
CXCL1,0.7784,0.1102022,-1.611413,-4.2804,-0.467549,NM_001511.1,
HLA-DOB,0.7784,0.1102976,1.610976,-4.2808,0.478604,NM_002120.3,
DUSP4,0.7784,0.1103523,-1.610725,-4.2811,-0.408327,NM_057158.2,
ELK1,0.7784,0.110577,-1.609697,-4.2821,-0.337136,NM_005229.3,
CEACAM1,0.7784,0.1114305,-1.605806,-4.2859,-0.564844,NM_001712.3,
MAPKAPK2,0.7784,0.1121931,-1.60235,-4.2894,-0.156095,NM_004759.3,
STAT2,0.7969,0.1160782,-1.585027,-4.3063,-0.240434,NM_005419.2,
HMGB1,0.7969,0.1196252,-1.569611,-4.3212,-0.236485,NM_002128.4,
MNX1,0.7969,0.1197398,1.569119,-4.3217,0.429945,NM_005515.3,
PRF1,0.7969,0.1198518,1.568638,-4.3222,0.482032,NM_005041.3,
COL3A1,0.7969,0.1203383,-1.566555,-4.3242,-0.577034,NM_000090.3,
DMBT1,0.7969,0.1255628,-1.544598,-4.3452,-0.966765,NM_007329.2,
SBNO2,0.7969,0.1259803,-1.542875,-4.3468,-0.208446,NM_014963.2,
MASP2,0.7969,0.126128,1.542267,-4.3474,0.342419,NM_139208.1,
KIR_Activating_Subgroup_1,0.7969,0.1262704,1.541681,-4.348,0.268346,NM_001083539.1,
TGFB2,0.7969,0.1264538,-1.540927,-4.3487,-0.472611,NM_003238.2,
CXCL16,0.7969,0.126715,-1.539854,-4.3497,-0.238175,NM_001100812.1,
THY1,0.7969,0.1270615,-1.538434,-4.351,-0.399368,NM_006288.2,
IGF2R,0.8071,0.1297181,-1.527646,-4.3612,-0.152412,NM_000876.1,
CXCR6,0.8279,0.1342315,1.509709,-4.378,0.600816,NM_006564.1,
ITGB4,0.8279,0.1351686,-1.506045,-4.3814,-0.319959,NM_001005731.1,
CD244,0.8284,0.1363129,1.501597,-4.3855,0.441213,NM_016382.2,
GZMK,0.8454,0.1401866,1.486754,-4.3992,0.793184,NM_002104.2,
PNMA1,0.8568,0.1442027,-1.4717,-4.4129,-0.245013,NM_006029.4,
ABCB1,0.8568,0.1455527,1.466713,-4.4174,0.408945,NM_000927.3,NA
MAPK1,0.8568,0.1468282,-1.462035,-4.4217,-0.175998,NM_138957.2,
GZMM,0.8568,0.1474585,1.459734,-4.4237,0.511995,NM_005317.2,
MAPK3,0.8568,0.1499051,-1.450876,-4.4317,-0.204678,NM_001040056.1,
CCL18,0.8568,0.1502604,1.449599,-4.4329,0.694541,NM_002988.2,NA
CCL16,0.8568,0.1520756,1.443111,-4.4386,0.314709,NM_004590.2,NA
DNAJC14,0.8568,0.1523989,1.441961,-4.4397,0.209401,NM_032364.5,
CCR3,0.8568,0.1536893,1.437393,-4.4437,0.41083,NM_001837.2,NA
ABCF1,0.8568,0.1543848,-1.434942,-4.4459,-0.145255,NM_001090.2,
ICOS,0.8568,0.1549961,1.432796,-4.4478,0.527692,NM_012092.2,
CTAGE1,0.8568,0.156747,1.426684,-4.4532,0.296317,NM_172241.2,
NEG_F,0.8568,0.1577444,-1.423226,-4.4563,-0.374583,,ERCC_00126.1
LILRA5,0.8568,0.1596345,-1.416718,-4.462,-0.517071,NM_181879.2,
IFIT1,0.8568,0.1606683,-1.413183,-4.4651,-0.558683,NM_001548.3,
LRP1,0.8568,0.161029,-1.411954,-4.4661,-0.220701,NM_002332.2,
JAK1,0.8568,0.161642,-1.40987,-4.468,-0.171272,NM_002227.1,
TLR9,0.8568,0.1621522,-1.40814,-4.4695,-0.356911,NM_017442.2,
KLRB1,0.8568,0.1673518,1.390743,-4.4845,0.626819,NM_002258.2,
ISG15,0.8568,0.1697418,-1.382885,-4.4913,-0.495619,NM_005101.3,
CTCFL,0.8568,0.1703324,1.380956,-4.4929,0.366634,NM_001269042.1,
TGFB1,0.8568,0.1727193,-1.373212,-4.4995,-0.224754,NM_000660.3,
IL25,0.8568,0.1732483,1.371507,-4.501,0.27649,NM_022789.2,
SYT17,0.8568,0.1769315,1.359742,-4.5109,0.483705,NM_016524.2,
CD83,0.8568,0.1776248,1.357548,-4.5128,0.323227,NM_004233.3,
SERPING1,0.8568,0.1780425,-1.356229,-4.5139,-0.335354,NM_000062.2,
ENG,0.8568,0.1792071,-1.352565,-4.517,-0.21758,NM_001114753.1,
CC2D1B,0.8568,0.1793848,1.352008,-4.5174,0.276797,NM_032449.2,
MARCO,0.8568,0.1796069,1.351311,-4.518,0.607419,NM_006770.3,
KLRK1,0.8568,0.1815018,1.345398,-4.523,0.541391,NM_007360.3,
CXCR1,0.8568,0.1817029,-1.344773,-4.5235,-0.34031,NM_000634.2,
CD34,0.8568,0.1820605,1.343663,-4.5244,0.316244,NM_001025109.1,
IFITM1,0.8568,0.1830889,-1.34048,-4.527,-0.334937,NM_003641.3,
KIR_Inhibiting_Subgroup_1,0.8568,0.1852051,1.333973,-4.5324,0.401258,NM_014218.2,
CCL8,0.8568,0.1856095,-1.332736,-4.5335,-0.4103,NM_005623.2,NA
CD38,0.8568,0.1894405,1.321115,-4.543,0.504994,NM_001775.2,
CD1E,0.8568,0.1929057,1.310754,-4.5515,0.329617,NM_001042583.1,
PDGFC,0.8568,0.1930852,-1.310221,-4.5519,-0.399822,NM_016205.2,
HLA-B,0.8568,0.1933993,-1.309289,-4.5527,-0.296589,NM_005514.6,
RAG1,0.8568,0.1934499,1.309139,-4.5528,0.455163,NM_000448.2,
CCRL2,0.8568,0.1944375,1.306218,-4.5552,0.430723,NM_003965.4,
CHIT1,0.8568,0.1946201,1.305679,-4.5556,0.562708,NM_003465.2,
MICB,0.8568,0.1961092,1.301299,-4.5592,0.274339,NM_005931.3,
AXL,0.8568,0.196585,-1.299904,-4.5603,-0.28296,NM_021913.2,NA
EGR1,0.8568,0.1967411,-1.299447,-4.5607,-0.417044,NM_001964.2,
PSEN2,0.8568,0.1972521,1.297953,-4.5619,0.282234,NM_000447.2,
IFNG,0.8568,0.1977114,1.296612,-4.5629,0.489244,NM_000619.2,
IL27,0.8568,0.2013264,1.286142,-4.5713,0.250689,NM_145659.3,
KIR_Inhibiting_Subgroup_2,0.8568,0.2015892,1.285386,-4.5719,0.282676,NM_014511.3,
LAMP3,0.8568,0.2042357,-1.277816,-4.578,-0.324289,NM_014398.3,
IFNL1,0.8568,0.2046626,-1.276602,-4.5789,-0.266931,NM_172140.1,
NOS2A,0.8568,0.2065293,1.271314,-4.5831,0.718308,NM_153292.1,
MAPK14,0.8568,0.2074862,1.268617,-4.5853,0.11026,NM_001315.1,
PRG2,0.8568,0.2082003,-1.26661,-4.5868,-0.392995,NM_002728.4,
AICDA,0.8568,0.2085923,1.265511,-4.5877,0.37911,NM_020661.1,NA
PLA2G1B,0.8568,0.2093862,1.263289,-4.5894,0.316465,NM_000928.2,
SEMG1,0.8568,0.2094116,1.263218,-4.5895,0.307532,NM_003007.2,
NEG_C,0.8568,0.2137232,1.251258,-4.5989,0.319847,,ERCC_00019.1
BCL10,0.8568,0.2147251,-1.248504,-4.601,-0.156392,NM_003921.2,NA
KLRF1,0.8568,0.2165668,1.243467,-4.6049,0.331039,NM_016523.1,
MCAM,0.8568,0.2181311,-1.239213,-4.6082,-0.220894,NM_006500.2,
TLR6,0.8568,0.2186776,1.237732,-4.6093,0.352335,NM_006068.2,
CD81,0.8568,0.2196854,-1.235008,-4.6114,-0.143403,NM_004356.3,
CTSG,0.8568,0.2247793,-1.221377,-4.6218,-0.499938,NM_001911.2,
NT5E,0.8568,0.2260423,-1.218032,-4.6244,-0.375723,NM_002526.2,
CYFIP2,0.8568,0.2262642,1.217445,-4.6248,0.339461,NM_001037332.2,
HCK,0.8568,0.227087,-1.215275,-4.6265,-0.216714,NM_002110.2,
BAX,0.8568,0.2280357,-1.21278,-4.6284,-0.135437,NM_138761.3,NA
VEGFA,0.8568,0.2283965,-1.211833,-4.6291,-0.278537,NM_001025366.1,
IL23A,0.8568,0.2292878,1.209498,-4.6308,0.451063,NM_016584.2,
PYCARD,0.8568,0.2319355,-1.2026,-4.636,-0.247239,NM_013258.3,
FN1,0.8568,0.2324348,-1.201306,-4.637,-0.568087,NM_212482.1,
TARP,0.8568,0.2332699,1.199145,-4.6386,0.436893,NM_001003799.1,
ARG1,0.8568,0.2376139,1.187996,-4.6469,0.551598,NM_000045.2,NA
LAMP2,0.8568,0.2395479,-1.183079,-4.6505,-0.147882,NM_001122606.1,
CARD9,0.8568,0.2395961,-1.182957,-4.6506,-0.361552,NM_052813.4,NA
PTPRC,0.8568,0.2417484,1.177519,-4.6546,0.322504,NM_080921.3,
ITGB3,0.8568,0.2441124,-1.171586,-4.659,-0.383243,NM_000212.2,
IFNA2,0.8568,0.2449776,1.169425,-4.6605,0.229783,NM_000605.3,
KLRC1,0.8568,0.245251,1.168743,-4.661,0.295788,NM_002259.3,
C8A,0.8568,0.2457413,1.167522,-4.6619,0.229796,NM_000562.2,NA
TNFSF15,0.8568,0.2474119,1.163374,-4.6649,0.404229,NM_001204344.1,
IL13,0.8568,0.2483231,1.161119,-4.6666,0.356381,NM_002188.2,
IL15,0.8568,0.248927,1.159628,-4.6677,0.213634,NM_172174.1,
CDKN1A,0.8568,0.249516,-1.158177,-4.6687,-0.251096,NM_000389.2,
SPACA3,0.8568,0.2497388,1.157628,-4.6691,0.279524,NM_173847.3,
PSEN1,0.8568,0.2501859,1.156529,-4.6699,0.120925,NM_000021.2,
GATA3,0.8568,0.2502528,-1.156365,-4.67,-0.273617,NM_001002295.1,
GPATCH3,0.8568,0.2510414,-1.154429,-4.6714,-0.169416,NM_022078.2,
LTF,0.8568,0.25116,1.154138,-4.6716,0.868396,NM_002343.2,
TNFSF10,0.8568,0.2512956,-1.153806,-4.6719,-0.299398,NM_003810.2,
ILF3,0.8568,0.2537547,-1.147802,-4.6762,-0.124645,NM_001137673.1,
IL12B,0.8568,0.2546424,1.145645,-4.6777,0.194486,NM_002187.2,
ENTPD1,0.8568,0.2551744,1.144354,-4.6786,0.295563,NM_001098175.1,
TBK1,0.8568,0.2559116,-1.142569,-4.6799,-0.121772,NM_013254.2,
EWSR1,0.8568,0.2571914,-1.139479,-4.6821,-0.108447,NM_013986.3,
ITGA5,0.8568,0.2574257,-1.138915,-4.6825,-0.297115,NM_002205.2,
TICAM1,0.8568,0.2585651,-1.136175,-4.6845,-0.220161,NM_014261.1,
BLK,0.8568,0.2588551,1.135479,-4.6849,0.496797,NM_001715.2,NA
FEZ1,0.8568,0.2607707,-1.130895,-4.6882,-0.346706,NM_005103.4,
CD3D,0.8568,0.2610056,1.130334,-4.6886,0.479933,NM_000732.4,
IL8,0.8568,0.26183,-1.12837,-4.69,-0.50215,NM_000584.2,
INPP5D,0.8568,0.262513,1.126745,-4.6911,0.308086,NM_005541.3,
ALCAM,0.8568,0.2641345,1.122902,-4.6938,0.364547,NM_001627.3,NA
ICAM1,0.8568,0.2641386,-1.122892,-4.6938,-0.305057,NM_000201.2,
MAGEC1,0.8568,0.2650451,1.12075,-4.6953,0.288805,NM_005462.4,
IL11RA,0.8568,0.2654403,-1.119818,-4.696,-0.318721,NM_147162.1,
TIRAP,0.8568,0.2660813,-1.118308,-4.697,-0.168675,NM_148910.2,
LAG3,0.8568,0.2673901,1.115233,-4.6992,0.342201,NM_002286.5,
ICAM2,0.8568,0.2679529,1.113914,-4.7001,0.317183,NM_000873.3,
PDGFRB,0.8568,0.2701493,-1.108785,-4.7037,-0.251649,NM_002609.3,
CCL20,0.8568,0.2710453,1.106701,-4.7051,0.491362,NM_004591.1,NA
MTMR14,0.8568,0.2718804,1.104763,-4.7064,0.165771,NM_022485.3,
TICAM2,0.8568,0.2738129,1.100294,-4.7095,0.271008,NM_021649.4,
CCL3,0.8568,0.2764695,-1.094185,-4.7137,-0.323837,NM_002983.2,NA
LILRB3,0.8568,0.276955,-1.093073,-4.7145,-0.352823,NM_006864.2,
AGK,0.8568,0.2779344,1.090835,-4.716,0.147401,NM_018238.3,
GUSB,0.8568,0.2779532,1.090792,-4.716,0.175435,NM_000181.1,
AIRE,0.8568,0.2787581,-1.088956,-4.7173,-0.331478,NM_000383.2,NA
CXCL9,0.8568,0.2790382,1.088318,-4.7177,0.512529,NM_002416.1,
MAP3K5,0.8568,0.2795701,1.087107,-4.7185,0.141232,NM_005923.3,
RRAD,0.8568,0.280212,-1.085649,-4.7195,-0.506495,NM_004165.1,
TNFRSF10B,0.8568,0.2817125,-1.082248,-4.7218,-0.160521,NM_003842.3,
KLRD1,0.8568,0.2818139,1.082019,-4.722,0.327129,NM_002262.3,
NCAM1,0.8568,0.2822528,-1.081027,-4.7226,-0.307452,NM_000615.5,
CCL22,0.8568,0.2838069,-1.077523,-4.725,-0.290737,NM_002990.3,NA
HLA-G,0.8568,0.2883734,-1.067302,-4.7319,-0.241742,NM_002127.4,
CX3CR1,0.8568,0.2900887,1.063491,-4.7344,0.392172,NM_001337.3,
CD2,0.8568,0.2903738,1.062859,-4.7348,0.480566,NM_001767.3,
ITGAM,0.8568,0.2917975,1.05971,-4.7369,0.360698,NM_000632.3,
ATF1,0.8568,0.2918118,-1.059679,-4.7369,-0.119737,NM_005171.2,NA
BST2,0.8568,0.2925743,-1.057996,-4.7381,-0.30753,NM_004335.2,NA
RORC,0.8568,0.2929268,1.05722,-4.7386,0.345176,NM_001001523.1,
ATF2,0.8568,0.2930403,-1.05697,-4.7387,-0.137201,NM_001256090.1,NA
PRKCE,0.8568,0.2956104,1.051328,-4.7425,0.203139,NM_005400.2,
CD24,0.8568,0.2979994,-1.046113,-4.7459,-0.323765,NM_013230.2,
CD84,0.8568,0.2991265,1.043663,-4.7475,0.356591,NM_001184879.1,
CXCR5,0.8568,0.3011838,1.039206,-4.7504,0.480712,NM_001716.3,
CMKLR1,0.8568,0.3016001,1.038307,-4.751,0.292736,NM_004072.1,
CTAG1B,0.8568,0.3017303,-1.038026,-4.7512,-0.347143,NM_001327.2,
CCR5,0.8568,0.3026417,1.03606,-4.7524,0.434081,NM_000579.1,NA
TNFRSF10C,0.8568,0.3033051,-1.034632,-4.7534,-0.304901,NM_003841.3,
CD74,0.8568,0.3039777,-1.033187,-4.7543,-0.302021,NM_001025159.1,
ISG20,0.8568,0.3051933,-1.030579,-4.756,-0.234437,NM_002201.4,
MBL2,0.8568,0.3081251,1.024319,-4.76,0.180147,NM_000242.2,
CASP10,0.8568,0.3086078,1.023293,-4.7607,0.204576,NM_032977.3,NA
DEFB1,0.8568,0.3089524,1.02256,-4.7611,0.259752,NM_005218.3,
IFI27,0.8568,0.3092987,-1.021825,-4.7616,-0.337645,NM_005532.3,
CD86,0.8568,0.3129476,1.014109,-4.7665,0.26945,NM_175862.3,
CXCR4,0.8568,0.3154391,1.008875,-4.7698,0.335308,NM_003467.2,
AMMECR1L,0.8568,0.3156882,-1.008353,-4.7702,-0.080246,NM_001199140.1,
CCL1,0.8568,0.3172935,1.004997,-4.7723,0.252825,NM_002981.1,NA
CD44,0.8568,0.3175718,-1.004417,-4.7727,-0.191521,NM_001001392.1,
CCL17,0.8568,0.3176374,1.00428,-4.7727,0.344947,NM_002987.2,NA
G6PD,0.8568,0.322318,0.994566,-4.7788,0.197848,NM_000402.2,
BTK,0.8568,0.3240396,0.991016,-4.781,0.317618,NM_000061.1,NA
C3AR1,0.8568,0.3249829,0.989077,-4.7822,0.323989,NM_004054.2,NA
C9,0.8568,0.3253401,0.988343,-4.7827,0.251118,NM_001737.3,NA
CCL13,0.8568,0.3266324,0.985694,-4.7843,0.363978,NM_005408.2,NA
FOXJ1,0.8568,0.3269137,0.985119,-4.7847,0.306724,NM_001454.3,
FUT7,0.8568,0.3274629,0.983995,-4.7854,0.375688,NM_004479.3,
IFIH1,0.8568,0.3295781,-0.979681,-4.788,-0.230457,NM_022168.2,
CD9,0.8568,0.3322593,0.974239,-4.7914,0.170041,NM_001769.2,
SYCP1,0.8568,0.3327554,0.973235,-4.792,0.323042,NM_003176.2,
CCL4,0.8568,0.3332297,0.972276,-4.7926,0.302532,NM_002984.2,NA
BIRC5,0.8568,0.3333173,-0.9721,-4.7927,-0.147746,NM_001168.2,NA
TLR3,0.8568,0.3334128,0.971907,-4.7928,0.268566,NM_003265.2,
CFP,0.8568,0.3343578,0.97,-4.794,0.356336,NM_002621.2,
SH2D1B,0.8568,0.3356464,0.967405,-4.7955,0.30015,NM_053282.4,
KIT,0.8568,0.336029,0.966636,-4.796,0.379704,NM_000222.2,
CCR9,0.8568,0.3366778,0.965333,-4.7968,0.163787,NM_031200.1,NA
IRF5,0.8568,0.337912,0.962859,-4.7983,0.175661,NM_002200.3,
CDK1,0.8568,0.337939,-0.962805,-4.7983,-0.152001,NM_001786.4,
IL3RA,0.8568,0.340261,-0.958166,-4.8011,-0.248781,NM_002183.2,
CREB5,0.8568,0.3419751,-0.954755,-4.8032,-0.274341,NM_182898.2,
IL6R,0.8568,0.3426225,-0.95347,-4.8039,-0.15333,NM_000565.2,
MAPK8,0.8568,0.3426369,-0.953441,-4.8039,-0.119232,NM_002750.2,
CCL5,0.8568,0.3455647,0.947648,-4.8074,0.345686,NM_002985.2,NA
CD40,0.8568,0.3455822,-0.947613,-4.8074,-0.200095,NM_001250.4,
MME,0.8568,0.3458779,-0.94703,-4.8078,-0.391435,NM_000902.2,
CD3E,0.8568,0.3503397,0.938267,-4.813,0.337156,NM_000733.2,
CXCL14,0.8568,0.3514719,-0.936055,-4.8143,-0.416108,NM_004887.4,
PSMB7,0.8568,0.3529642,-0.933146,-4.816,-0.123453,NM_002799.2,
COG7,0.8568,0.3538607,-0.931402,-4.817,-0.089009,NM_153603.3,
TNFAIP3,0.8568,0.356191,-0.926883,-4.8196,-0.212376,NM_006290.2,
FPR2,0.8568,0.3572592,-0.924818,-4.8208,-0.278868,NM_001462.3,
SH2D1A,0.8568,0.3573191,0.924702,-4.8209,0.376604,NM_001114937.2,
CT45A1,0.8568,0.3588929,0.921667,-4.8226,0.578012,NM_001017417.1,
IRF3,0.8568,0.3592224,-0.921033,-4.823,-0.154529,NM_001571.5,
POU2AF1,0.8568,0.3618401,0.916006,-4.8259,0.414662,NM_006235.2,
LTA,0.8568,0.3618935,0.915903,-4.826,0.30684,NM_000595.2,
FLT3,0.8568,0.3624999,0.914742,-4.8266,0.307667,NM_004119.1,
IL1RN,0.8568,0.3632727,-0.913264,-4.8275,-0.300779,NM_000577.3,
CASP3,0.8568,0.3638348,0.912191,-4.8281,0.124024,NM_032991.2,NA
CDH1,0.8568,0.3655517,-0.908918,-4.83,-0.164861,NM_004360.2,
CD8A,0.8568,0.3673856,0.905432,-4.832,0.37144,NM_001768.5,
IRAK1,0.8568,0.3675182,-0.905181,-4.8321,-0.113673,NM_001569.3,
S100B,0.8568,0.3680838,-0.904108,-4.8327,-0.306835,NM_006272.1,
OAS3,0.8568,0.369689,-0.90107,-4.8344,-0.193661,NM_006187.2,
CCL2,0.8568,0.372936,-0.89495,-4.8379,-0.228618,NM_002982.3,NA
CARD11,0.8568,0.3730182,-0.894796,-4.838,-0.260796,NM_032415.2,NA
IKBKE,0.8568,0.3734306,0.894021,-4.8384,0.161511,NM_014002.2,
TLR1,0.8568,0.3740365,0.892883,-4.839,0.23365,NM_003263.3,
RELA,0.8568,0.3749269,-0.891214,-4.84,-0.117392,NM_021975.2,
TAB1,0.8568,0.3767625,-0.887781,-4.8419,-0.107327,NM_153497.2,
TNFRSF17,0.8568,0.3797825,0.882154,-4.845,0.374654,NM_001192.2,
KLRC2,0.8568,0.3798027,0.882117,-4.8451,0.381132,NM_002260.3,
ETS1,0.8568,0.3799362,0.881869,-4.8452,0.201455,NM_005238.3,
IL1A,0.8568,0.3824507,0.877207,-4.8478,0.335976,NM_000575.3,
HDAC3,0.8568,0.3830024,0.876186,-4.8483,0.085685,NM_003883.2,
NFKB2,0.8568,0.3853208,-0.871909,-4.8507,-0.161731,NM_002502.2,
C1QA,0.8568,0.385394,0.871774,-4.8508,0.269715,NM_015991.2,NA
IL3,0.8568,0.3857391,0.871138,-4.8511,0.184311,NM_000588.3,
NRP1,0.8568,0.3858964,-0.870849,-4.8513,-0.1807,NM_003873.5,
TRAF3,0.8568,0.3874645,0.867967,-4.8528,0.097841,NM_145725.1,
TNFSF18,0.8568,0.3875002,0.867902,-4.8529,0.30947,NM_005092.2,
PPIA,0.8568,0.3877799,0.867388,-4.8532,0.12317,NM_021130.2,
PTGS2,0.8568,0.3889795,-0.86519,-4.8544,-0.33142,NM_000963.1,
IL19,0.8568,0.3893273,0.864553,-4.8547,0.376003,NM_013371.3,
MASP1,0.8568,0.391142,-0.861237,-4.8565,-0.317202,NM_139125.3,
SLAMF7,0.8568,0.3915562,0.860482,-4.8569,0.320695,NM_021181.3,
AKT3,0.8568,0.3934012,0.857122,-4.8587,0.198944,NM_181690.1,NA
CD6,0.8568,0.394335,0.855426,-4.8596,0.287883,NM_006725.3,
CD247,0.8568,0.3953072,0.853662,-4.8606,0.264549,NM_198053.1,
LY86,0.8568,0.3957078,0.852936,-4.861,0.30615,NM_004271.3,
PMCH,0.8568,0.3975234,0.849651,-4.8627,0.157377,NM_002674.2,
CTSW,0.8568,0.3986903,0.847545,-4.8639,0.323961,NM_001335.3,
BCL6,0.8568,0.3986913,-0.847543,-4.8639,-0.12276,NM_001706.2,NA
CSF3,0.8568,0.3997733,0.845593,-4.8649,0.210789,NM_000759.3,
CCR6,0.8568,0.4020452,0.84151,-4.8671,0.297984,NM_031409.2,NA
CASP1,0.8568,0.4058188,-0.834758,-4.8706,-0.203444,NM_001223.3,NA
CD27,0.8568,0.4059705,0.834488,-4.8708,0.357595,NM_001242.4,
CXCL2,0.8568,0.4064944,-0.833554,-4.8713,-0.269613,NM_002089.3,
ERCC3,0.8568,0.4064994,-0.833545,-4.8713,-0.088403,NM_000122.1,
CLU,0.8568,0.4079888,0.830893,-4.8726,0.239192,NM_001831.2,
SPP1,0.8568,0.4103731,0.826661,-4.8749,0.372501,NM_000582.2,
SF3A3,0.8568,0.4107795,-0.825941,-4.8752,-0.097533,NM_006802.2,
IL34,0.8568,0.4148382,-0.818774,-4.8789,-0.24392,NM_152456.1,
CX3CL1,0.8568,0.4148951,-0.818673,-4.879,-0.249593,NM_002996.3,
IL2RG,0.8568,0.4169244,0.815106,-4.8808,0.242842,NM_000206.1,
FYN,0.8568,0.4171118,-0.814777,-4.881,-0.150688,NM_002037.3,
NLRP3,0.8568,0.4204215,-0.808983,-4.884,-0.23991,NM_001079821.2,
IL18R1,0.8568,0.4207464,-0.808416,-4.8842,-0.203859,NM_003855.2,
CXCL11,0.8568,0.4212929,-0.807462,-4.8847,-0.435361,NM_005409.4,
IFNAR1,0.8568,0.4213635,0.807339,-4.8848,0.137156,NM_000629.2,
NEFL,0.8568,0.423515,-0.803592,-4.8867,-0.363326,NM_006158.3,
SIGLEC1,0.8568,0.4255939,-0.799982,-4.8885,-0.248323,NM_023068.3,
PPARG,0.8568,0.4267029,0.79806,-4.8895,0.314533,NM_015869.3,
TBP,0.8568,0.4267367,-0.798002,-4.8895,-0.091608,NM_001172085.1,
ITGA2B,0.8568,0.4270781,0.797411,-4.8898,0.291965,NM_000419.3,
CREB1,0.8568,0.4273728,0.796901,-4.8901,0.084299,NM_004379.3,
TAL1,0.8568,0.4285947,-0.79479,-4.8911,-0.231976,NM_003189.2,
F12,0.8568,0.4293257,-0.793528,-4.8918,-0.230288,NM_000505.3,
TNFSF13,0.8568,0.4300295,-0.792314,-4.8924,-0.167878,NM_003808.3,
CCL28,0.8568,0.4307336,-0.791102,-4.893,-0.259099,NM_148672.2,NA
MYD88,0.8568,0.4319381,-0.78903,-4.894,-0.123773,NM_002468.3,
CD33,0.8568,0.4331515,0.786946,-4.895,0.228562,NM_001177608.1,
MERTK,0.8568,0.4342676,0.785032,-4.896,0.177589,NM_006343.2,
CEACAM8,0.8568,0.4355815,0.782783,-4.8971,0.211794,NM_001816.3,
FCGR1A,0.8568,0.4357099,0.782563,-4.8972,0.259465,NM_000566.3,
C4BPA,0.8568,0.4364114,0.781364,-4.8978,0.139656,NM_000715.3,NA
CR2,0.8568,0.4374554,0.779582,-4.8987,0.28167,NM_001006658.1,
IFNA7,0.8568,0.4380102,0.778635,-4.8991,0.258374,NM_021057.2,
MRPS5,0.8568,0.4406192,0.774195,-4.9013,0.058966,NM_031902.3,
C6,0.8568,0.4407906,0.773904,-4.9014,0.231449,NM_000065.2,NA
SH2B2,0.8568,0.4426844,-0.770691,-4.903,-0.149307,NM_020979.3,
ITCH,0.8568,0.442875,-0.770368,-4.9032,-0.12035,NM_001257138.1,
FADD,0.8568,0.4447198,-0.767247,-4.9047,-0.274176,NM_003824.2,
TLR2,0.8568,0.4447491,-0.767198,-4.9047,-0.148927,NM_003264.3,
HLA-A,0.8568,0.44685,-0.763652,-4.9064,-0.156384,NM_002116.5,
GAGE1,0.8568,0.4470936,0.763242,-4.9066,0.268068,NM_001040663.2,
